D1,D2,D3,D4,D5,D6,D7,D8,Class
6.9987,25.8333,14,-0.0076,-0.0478,0.2257,0.6396,0.4148,3
8.0014,32.1667,16,0.006,-0.0886,0.4133,0.6,0.3937,3
8.9995,39.3333,18,0.0436,-0.0045,0.0215,0.5126,0.3364,3
7.9987,32.0667,16,-0.0919,0,0,0.7007,0.4396,3
8.0009,32.1667,16,0.0042,-0.0943,0.4397,0.6012,0.3921,3
7.0008,25.6667,14,-0.0941,-0.1188,0.5913,0.7173,0.4643,3
7.9996,32.8333,16,0.022,-0.0022,0.0137,0.5713,0.3684,3
8.0017,32,16,-0.0842,-0.0006,0.001,0.7072,0.4562,3
6.9996,26.3333,14,0.0456,-0.1443,0.7128,0.5033,0.349,3
7.0012,26.1667,14,-0.0489,-0.0635,0.2956,0.6606,0.4326,3
6.9992,25.6667,14,-0.1226,-0.3795,2.065,0.7359,0.4773,3
7,25.8333,14,-0.0076,-0.0473,0.1162,0.6296,0.4106,3
7.0008,26.3333,14,0.0375,-0.0179,0.0832,0.5335,0.3547,3
7.0004,25.6667,14,-0.1169,-0.2722,1.4317,0.7432,0.4836,3
8.0004,32.8333,16,0.0252,-0.0019,0.0095,0.5619,0.3611,3
7.9982,32.1667,16,0.001,-0.1264,0.592,0.6041,0.3944,3
6.9996,26.1667,14,-0.1186,-0.0186,0.0902,0.7132,0.457,3
7.0004,25.8333,14,-0.0091,-0.0559,0.2699,0.642,0.416,3
10.9989,55.7,24,0,-0.0042,0.0199,0.6234,0.3935,3
9.0013,37.3667,18,-0.0959,-0.2064,0.7719,0.7104,0.4518,3
8.0017,32,16,-0.08,-0.0001,0.0063,0.7059,0.4553,3
8.9986,39.0667,18,-0.0195,-0.0045,0.0207,0.6297,0.3956,3
8.0004,32.1667,16,0.0011,-0.4044,2.2745,0.5985,0.3958,3
7.9991,32.1667,16,0.0053,-0.0445,0.3173,0.5981,0.3951,3
7.9987,31.5667,16,-0.0637,-0.111,0.5317,0.6929,0.4394,3
7.9983,32.1667,16,-0.0026,-0.0969,0.4364,0.6057,0.3957,3
7.9987,32.6667,16,-0.0045,-0.0105,0.0083,0.5875,0.376,3
8.9986,38.5667,18,0.0155,-0.1106,0.5266,0.5865,0.3797,3
9.0005,39,18,0.0477,-0.0008,0.0034,0.4567,0.3245,3
9.0018,38.3,18,-0.0831,0.0087,0.0385,0.7106,0.4528,3
